date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:56	4151/4151	---M--	200	added ('OK')	text/plain	etag:%2293d0bf1ed9daec6b7477c2d96fc77be4%22	https://www.amazon.com/robots.txt		(from )
01:30:00	2794532/2794532	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:29:56%20GMT	https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1	./websites/amazon/www.amazon.com/dp/B0D9L9GCZ988f3.html	(from )
01:30:01	6609/6609	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:01%20GMT	https://www.amazon.com/dp/sp.load.js	./websites/amazon/www.amazon.com/dp/sp.load.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:01	6617/6617	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:01%20GMT	https://www.amazon.com/dp/$entities.set	./websites/amazon/www.amazon.com/dp/$entities.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:02	6603/6603	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:01%20GMT	https://www.amazon.com/dp/POST	./websites/amazon/www.amazon.com/dp/POST.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:02	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	etag:%22694-61796b2966d40-gzip%22	https://www.amazon.com/dp/@c/	./websites/amazon/www.amazon.com/dp/@c/index.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:02	6612/6612	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:02%20GMT	https://www.amazon.com/dp/@p/	./websites/amazon/www.amazon.com/dp/@p/index.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:02	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	etag:%22694-61796b2966d40-gzip%22	https://www.amazon.com/dp/@m/	./websites/amazon/www.amazon.com/dp/@m/index.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:04	6618/6618	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:03%20GMT	https://www.amazon.com/dp/sp.load.critical.js	./websites/amazon/www.amazon.com/dp/sp.load.critical.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:04	7058/7058	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:04%20GMT	https://www.amazon.com/dp/stores/page/C7845D61-EF1D-4483-9C48-068E94B075EB/&ref=sbm_ilm_bs/?_encoding=UTF8&pd_rd_w=ZT9Yq&content-id=amzn1.sym.1c60588e-a18f-470f-9411-154bbb337f69&pf_rd_p=1c60588e-a18f-470f-9411-154bbb337f69&pf_rd_r=73Z1EJVQ1EB8V8Y16ZF1&pd_rd_wg=EAtEU&pd_rd_r=4d799b3c-bba1-4696-bcc4-4b323566eed6	./websites/amazon/www.amazon.com/dp/stores/page/C7845D61-EF1D-4483-9C48-068E94B075EB/&ref=sbm_ilm_bs/index5b2f.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:04	6599/6599	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:04%20GMT	https://www.amazon.com/dp/	./websites/amazon/www.amazon.com/dp/index.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:04	0/0	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2015%20Nov%202024%2006:30:04%20GMT	https://www.amazon.com/dp/%22${sign-in-url}%22>sign	./websites/amazon/www.amazon.com/dp/_${sign-in-url}__sign	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:05	6642/6642	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:05%20GMT	https://www.amazon.com/dp/${sign-in-url}	./websites/amazon/www.amazon.com/dp/${sign-in-url}.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
01:30:05	6651/6651	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2006:30:05%20GMT	https://www.amazon.com/dp/B07984JN3L?plattr=ACOMFO&ie=UTF-8	./websites/amazon/www.amazon.com/dp/B07984JN3L0a2e.html	(from https://www.amazon.com/dp/B0D9L9GCZ9?ref=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&ref_=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&social_share=cm_sw_r_cso_cp_apin_dp_7JESGXMBJ3960BEHC01B&peakEvent=1&starsLeft=1&skipTwisterOG=1)
